epic:epic,miscellaneous_or_elegy_or_drama:miscellaneous_or_elegy_or_drama
Textname,Genre
tesserae/texts/la/anonymous.laudes_domini.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.carmina_minora.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.de_bello_gildonico.tess,epic
tesserae/texts/la/claudian.de_bello_gothico.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.1.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.2.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.3.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.1.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.2.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.3.tess,epic
tesserae/texts/la/claudian.epithalamium_de_nuptiis_honorii_augusti.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.in_consulatum_olybrii_et_probini.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.in_eutropium/claudian.in_eutropium.part.1.tess,epic
tesserae/texts/la/claudian.in_eutropium/claudian.in_eutropium.part.2.tess,epic
tesserae/texts/la/claudian.in_rufinum/claudian.in_rufinum.part.1.tess,epic
tesserae/texts/la/claudian.in_rufinum/claudian.in_rufinum.part.2.tess,epic
tesserae/texts/la/claudian.panegyricus_de_quarto_consulatu_honorii_augusti.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.panegyricus_de_sexto_consulatu_honorii_augusti.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.panegyricus_de_tertio_consulatu_honorii_augusti.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/claudian.panegyricus_dictus_manlio_theodoro_consuli.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ennius.annales.tess,epic
tesserae/texts/la/ennodius.opera.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.ars_poetica.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.carmen_saeculare.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.epistles.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.epodes.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.odes/horace.odes.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.odes/horace.odes.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.odes/horace.odes.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.odes/horace.odes.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.satires/horace.satires.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/horace.satires/horace.satires.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/italicus.ilias_latina.tess,epic
tesserae/texts/la/juvenal.satires.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/juvencus.historia_evangelica/juvencus.historia_evangelica.part.1.tess,epic
tesserae/texts/la/juvencus.historia_evangelica/juvencus.historia_evangelica.part.2.tess,epic
tesserae/texts/la/juvencus.historia_evangelica/juvencus.historia_evangelica.part.3.tess,epic
tesserae/texts/la/juvencus.historia_evangelica/juvencus.historia_evangelica.part.4.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.1.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.10.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.2.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.3.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.4.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.5.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.6.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.7.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.8.tess,epic
tesserae/texts/la/lucan.bellum_civile/lucan.bellum_civile.part.9.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.1.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.2.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.3.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.4.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.5.tess,epic
tesserae/texts/la/lucretius.de_rerum_natura/lucretius.de_rerum_natura.part.6.tess,epic
tesserae/texts/la/manilius.astronomicon/manilius.astronomicon.part.1.tess,epic
tesserae/texts/la/manilius.astronomicon/manilius.astronomicon.part.2.tess,epic
tesserae/texts/la/manilius.astronomicon/manilius.astronomicon.part.3.tess,epic
tesserae/texts/la/manilius.astronomicon/manilius.astronomicon.part.4.tess,epic
tesserae/texts/la/manilius.astronomicon/manilius.astronomicon.part.5.tess,epic
tesserae/texts/la/martial.epigrams/martial.epigrams.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.10.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.11.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.12.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.13.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.14.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.5.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.6.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.7.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.8.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/martial.epigrams/martial.epigrams.part.9.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.amores/ovid.amores.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.amores/ovid.amores.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.amores/ovid.amores.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ars_amatoria/ovid.ars_amatoria.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ars_amatoria/ovid.ars_amatoria.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ars_amatoria/ovid.ars_amatoria.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ex_ponto/ovid.ex_ponto.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ex_ponto/ovid.ex_ponto.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ex_ponto/ovid.ex_ponto.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ex_ponto/ovid.ex_ponto.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.5.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.fasti/ovid.fasti.part.6.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.heroides.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.ibis.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.medicamina_faciei_femineae.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.1.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.10.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.11.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.12.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.13.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.14.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.15.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.2.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.3.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.4.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.5.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.6.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.7.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.8.tess,epic
tesserae/texts/la/ovid.metamorphoses/ovid.metamorphoses.part.9.tess,epic
tesserae/texts/la/ovid.remedia_amoris.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.tristia/ovid.tristia.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.tristia/ovid.tristia.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.tristia/ovid.tristia.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.tristia/ovid.tristia.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/ovid.tristia/ovid.tristia.part.5.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/persius.satires.tess,miscellaneous_or_elegy_or_drama
