history:history,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy:oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
Textname,Genre
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.14.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.15.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.16.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.17.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.18.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.19.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.20.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.21.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.22.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.23.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.24.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.25.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.26.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.27.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.28.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.29.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.30.tess,history
tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.31.tess,history
tesserae/texts/la/apuleius.apologia.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.florida.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.11.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.9.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.1.1-10.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.2.11-20.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.3.21-30.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.4.31-40.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.5.41-50.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.6.51-62.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.1.tess,history
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.2.tess,history
tesserae/texts/la/caesar.de_bello_civili/caesar.de_bello_civili.part.3.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.1.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.2.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.3.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.4.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.5.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.6.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.7.tess,history
tesserae/texts/la/caesar.de_bello_gallico/caesar.de_bello_gallico.part.8.tess,history
tesserae/texts/la/caesar_augustus.res_gestae_divi_augusti.tess,history
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.6.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.7.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/celsus.de_medicina/celsus.de_medicina.part.8.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.academica.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.brutus.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.cum_populo_gratias_egit.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_amicitia.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_divinatione.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_domo_sua.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_fato.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.2.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.3.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.4.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_finibus_bonorum_et_malorum/cicero.de_finibus_bonorum_et_malorum.part.5.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_haruspicum_responso.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_imperio_cn_pompei.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
tesserae/texts/la/cicero.de_inventione/cicero.de_inventione.part.1.tess,oratory_or_miscellaneous_or_letters_or_technical_treatise_or_philosophy
